seq,pitch,roll,yaw,xVelocity,yVelocity,zVelocity,altitude
58976,17.899,18.774,9.971,0,0,0,0
58977,17.898,18.778,9.979,0,0,0,0
58978,17.901,18.772,9.991,0,0,0,0
58979,17.906,18.784,10.008,0,0,0,0
58980,17.916,18.791,10.02,0,0,0,0
58981,17.92,18.793,10.029,0,0,0,0
58982,17.917,18.785,10.035,0,0,0,0
58983,17.917,18.783,10.04,0,0,0,0
58984,17.921,18.8,10.042,0,0,0,0
58985,17.918,18.799,10.042,0,0,0,0
58986,17.916,18.802,10.052,0,0,0,0
58987,17.908,18.795,10.063,0,0,0,0
58988,17.904,18.794,10.081,0,0,0,0
58989,17.902,18.78,10.091,0,0,0,0
58990,17.905,18.776,10.104,0,0,0,0
58991,17.908,18.76,10.119,0,0,0,0
58992,17.902,18.733,10.122,0,0,0,0
58993,17.879,18.749,10.148,0,0,0,0
58994,17.851,18.728,10.163,0,0,0,0
58995,17.849,18.729,10.177,0,0,0,0
58996,17.851,18.741,10.186,0,0,0,0
58997,17.825,18.738,10.109,0,0,0,0
58998,17.825,18.753,10.034,0,0,0,0
58999,17.835,18.78,10.063,0,0,0,0
59000,17.777,18.747,10.051,0,0,0,0
59001,17.716,18.737,10.077,0,0,0,0
59002,17.695,18.724,10.165,0,0,0,0
59003,17.633,18.698,10.157,0,0,0,0
59004,17.644,18.775,10.208,0,0,0,0
59005,17.61,18.72,10.187,0,0,0,0
59006,17.624,18.758,10.281,0,0,0,0
59007,17.693,18.789,10.423,0,0,0,0
59008,17.785,18.776,10.406,0,0,0,0
59009,17.893,18.891,10.298,0,0,0,0
59010,17.959,18.928,10.116,0,0,0,0
59011,17.989,18.917,9.97,0,0,0,0
59012,18.053,18.909,9.979,0,0,0,0
59013,18.029,18.86,9.973,0,0,0,0
59014,18.013,18.892,9.998,0,0,0,0
59015,17.994,18.902,10.026,0,0,0,0
59016,18.003,18.882,10.036,0,0,0,0
59017,18.017,18.878,9.997,0,0,0,0
59018,17.977,18.863,9.93,0,0,0,0
59019,17.865,18.842,9.884,0,0,0,0
59020,17.533,18.677,9.778,0,0,0,0
59021,17.282,18.56,9.671,0,0,0,0
59022,17.102,18.428,9.571,0,0,0,0
59023,16.986,18.366,9.496,0,0,0,0
59024,16.899,18.279,9.438,0,0,0,0
59025,16.827,18.208,9.405,0,0,0,0
59026,16.773,18.14,9.37,0,0,0,0
59027,16.73,18.08,9.375,0,0,0,0
59028,16.823,18.171,9.507,0,0,0,0
59029,16.988,18.474,9.606,0,0,0,0
59030,17.024,18.513,9.723,0,0,0,0
